timestamp,value,label,KPI ID
1506310320,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310380,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310440,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310500,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310560,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310620,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310680,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310740,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310800,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310860,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310920,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506310980,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311040,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311100,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311160,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311220,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311280,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311340,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311400,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311460,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311520,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311580,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311640,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311700,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311760,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311820,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311880,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506311940,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312000,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312060,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312120,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312180,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312240,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312300,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312360,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312420,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312480,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312540,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
1506312600,0.0,0,57051487-3a40-3828-9084-a12f7f23ee38
